instant,datetime,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,total_count,recency,frequency,monetary
1,2011-01-01,Spring,2011,Jan,0,0,Saturday,0,Clear,0.24,0.2879,0.81,0.0,3,13,16,730,16,16
2,2011-01-01,Spring,2011,Jan,1,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,8,32,40,730,40,40
3,2011-01-01,Spring,2011,Jan,2,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,5,27,32,730,32,32
4,2011-01-01,Spring,2011,Jan,3,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,3,10,13,730,13,13
5,2011-01-01,Spring,2011,Jan,4,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,0,1,1,730,1,1
6,2011-01-01,Spring,2011,Jan,5,0,Saturday,0,Misty,0.24,0.2576,0.75,0.0896,0,1,1,730,1,1
7,2011-01-01,Spring,2011,Jan,6,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,2,0,2,730,2,2
8,2011-01-01,Spring,2011,Jan,7,0,Saturday,0,Clear,0.2,0.2576,0.86,0.0,1,2,3,730,3,3
9,2011-01-01,Spring,2011,Jan,8,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,1,7,8,730,8,8
10,2011-01-01,Spring,2011,Jan,9,0,Saturday,0,Clear,0.32,0.3485,0.76,0.0,8,6,14,730,14,14
11,2011-01-01,Spring,2011,Jan,10,0,Saturday,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,730,36,36
12,2011-01-01,Spring,2011,Jan,11,0,Saturday,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,730,56,56
13,2011-01-01,Spring,2011,Jan,12,0,Saturday,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,730,84,84
14,2011-01-01,Spring,2011,Jan,13,0,Saturday,0,Misty,0.46,0.4545,0.72,0.2985,47,47,94,730,94,94
15,2011-01-01,Spring,2011,Jan,14,0,Saturday,0,Misty,0.46,0.4545,0.72,0.2836,35,71,106,730,106,106
16,2011-01-01,Spring,2011,Jan,15,0,Saturday,0,Misty,0.44,0.4394,0.77,0.2985,40,70,110,730,110,110
17,2011-01-01,Spring,2011,Jan,16,0,Saturday,0,Misty,0.42,0.4242,0.82,0.2985,41,52,93,730,93,93
18,2011-01-01,Spring,2011,Jan,17,0,Saturday,0,Misty,0.44,0.4394,0.82,0.2836,15,52,67,730,67,67
19,2011-01-01,Spring,2011,Jan,18,0,Saturday,0,Light_rainsnow,0.42,0.4242,0.88,0.2537,9,26,35,730,35,35
20,2011-01-01,Spring,2011,Jan,19,0,Saturday,0,Light_rainsnow,0.42,0.4242,0.88,0.2537,6,31,37,730,37,37
21,2011-01-01,Spring,2011,Jan,20,0,Saturday,0,Misty,0.4,0.4091,0.87,0.2537,11,25,36,730,36,36
22,2011-01-01,Spring,2011,Jan,21,0,Saturday,0,Misty,0.4,0.4091,0.87,0.194,3,31,34,730,34,34
23,2011-01-01,Spring,2011,Jan,22,0,Saturday,0,Misty,0.4,0.4091,0.94,0.2239,11,17,28,730,28,28
24,2011-01-01,Spring,2011,Jan,23,0,Saturday,0,Misty,0.46,0.4545,0.88,0.2985,15,24,39,730,39,39
25,2011-01-02,Spring,2011,Jan,0,0,Sunday,0,Misty,0.46,0.4545,0.88,0.2985,4,13,17,729,17,17
26,2011-01-02,Spring,2011,Jan,1,0,Sunday,0,Misty,0.44,0.4394,0.94,0.2537,1,16,17,729,17,17
27,2011-01-02,Spring,2011,Jan,2,0,Sunday,0,Misty,0.42,0.4242,1.0,0.2836,1,8,9,729,9,9
28,2011-01-02,Spring,2011,Jan,3,0,Sunday,0,Misty,0.46,0.4545,0.94,0.194,2,4,6,729,6,6
29,2011-01-02,Spring,2011,Jan,4,0,Sunday,0,Misty,0.46,0.4545,0.94,0.194,2,1,3,729,3,3
30,2011-01-02,Spring,2011,Jan,6,0,Sunday,0,Light_rainsnow,0.42,0.4242,0.77,0.2985,0,2,2,729,2,2
31,2011-01-02,Spring,2011,Jan,7,0,Sunday,0,Misty,0.4,0.4091,0.76,0.194,0,1,1,729,1,1
32,2011-01-02,Spring,2011,Jan,8,0,Sunday,0,Light_rainsnow,0.4,0.4091,0.71,0.2239,0,8,8,729,8,8
33,2011-01-02,Spring,2011,Jan,9,0,Sunday,0,Misty,0.38,0.3939,0.76,0.2239,1,19,20,729,20,20
34,2011-01-02,Spring,2011,Jan,10,0,Sunday,0,Misty,0.36,0.3485,0.81,0.2239,7,46,53,729,53,53
35,2011-01-02,Spring,2011,Jan,11,0,Sunday,0,Misty,0.36,0.3333,0.71,0.2537,16,54,70,729,70,70
36,2011-01-02,Spring,2011,Jan,12,0,Sunday,0,Misty,0.36,0.3333,0.66,0.2985,20,73,93,729,93,93
